REGION,TECHNOLOGY,FUEL,YEAR,VALUE
RD,DIST_NGS,E1NGS,2033,60.09555884072572
RD,DIST_NGS,E1NGS,2034,61.54508234175808
RD,DIST_NGS,E1NGS,2035,62.99460584279045
RD,DIST_NGS,E1NGS,2036,64.4441293438228
RD,DIST_NGS,E1NGS,2037,65.89365284485515
RD,DIST_NGS,E1NGS,2038,67.34317634588751
RD,DIST_NGS,E1NGS,2039,68.79269984691987
RD,DIST_NGS,E1NGS,2040,70.24212334795224
RD,DIST_NGS,E1NGS,2041,71.64609757003167
RD,DIST_NGS,E1NGS,2042,73.0500717921111
RD,DIST_NGS,E1NGS,2043,74.45404601419052
RD,DIST_NGS,E1NGS,2044,75.87834914623411
RD,DIST_NGS,E1NGS,2045,77.30240681272214
RD,DIST_NGS,E1NGS,2046,78.7268917632245
RD,DIST_NGS,E1NGS,2047,80.15147106709604
RD,DIST_NGS,E1NGS,2048,81.57568175426508
RD,DIST_NGS,E1NGS,2049,82.99982607068142
RD,DIST_NGS,E1NGS,2050,84.42455835096874
RD,DIST_COK,E1COK,2018,7.9674804
RD,DIST_COK,E1COK,2019,16.8890353278968
RD,DIST_COK,E1COK,2020,16.5040878997069
RD,DIST_COK,E1COK,2021,18.638084577554896
RD,DIST_COK,E1COK,2022,18.790937415285
RD,DIST_COK,E1COK,2023,18.7357757610984
RD,DIST_COK,E1COK,2024,19.422374538544
RD,DIST_COK,E1COK,2025,20.1124201425002
RD,DIST_COK,E1COK,2026,20.7891261159122
RD,DIST_COK,E1COK,2027,21.465832089324095
RD,DIST_COK,E1COK,2028,22.1425380627361
RD,DIST_COK,E1COK,2029,22.819244036148
RD,DIST_COK,E1COK,2030,23.49595000956
RD,DIST_COK,E1COK,2031,24.1093276582932
RD,DIST_COK,E1COK,2032,24.7227053070264
RD,DIST_COK,E1COK,2033,25.3360829557596
RD,DIST_COK,E1COK,2034,25.9494606044928
RD,DIST_COK,E1COK,2035,26.562838253226
RD,DIST_COK,E1COK,2036,27.1762159019592
RD,DIST_COK,E1COK,2037,27.7895935506925
RD,DIST_COK,E1COK,2038,28.4029711994257
RD,DIST_COK,E1COK,2039,29.016348848158895
RD,DIST_COK,E1COK,2040,29.6297264968921
RD,DIST_COK,E1COK,2041,30.086582320277095
RD,DIST_COK,E1COK,2042,30.543438143662
RD,DIST_COK,E1COK,2043,31.000293967047
RD,DIST_COK,E1COK,2044,31.457149790432
RD,DIST_COK,E1COK,2045,31.9140056138169
RD,DIST_COK,E1COK,2046,32.3708614372019
RD,DIST_COK,E1COK,2047,32.8277172605868
RD,DIST_COK,E1COK,2048,33.2845730839718
RD,DIST_COK,E1COK,2049,33.7414289073568
RD,DIST_COK,E1COK,2050,34.1982847307417
RD,DIST_KER,E1KER,2018,23.4833132997724
RD,DIST_KER,E1KER,2019,22.417159683770095
RD,DIST_KER,E1KER,2020,9.450214068378923
RD,DIST_KER,E1KER,2021,15.970634855454191
RD,DIST_KER,E1KER,2022,22.50563134910712
RD,DIST_KER,E1KER,2023,23.032832017074
RD,DIST_KER,E1KER,2024,23.902881320322827
RD,DIST_KER,E1KER,2025,24.77825701080481
RD,DIST_KER,E1KER,2026,25.608806254632903
RD,DIST_KER,E1KER,2027,26.453663452508287
RD,DIST_KER,E1KER,2028,27.35088823147418
RD,DIST_KER,E1KER,2029,28.217905863883868
RD,DIST_KER,E1KER,2030,29.083518444846856
RD,DIST_KER,E1KER,2031,29.868791222273437
RD,DIST_KER,E1KER,2032,30.654063999700007
RD,DIST_KER,E1KER,2033,31.439336777126588
RD,DIST_KER,E1KER,2034,32.22460955455317
RD,DIST_KER,E1KER,2035,33.009882331979746
RD,DIST_KER,E1KER,2036,33.79515510940632
RD,DIST_KER,E1KER,2037,34.58042788683291
RD,DIST_KER,E1KER,2038,35.36570066425948
RD,DIST_KER,E1KER,2039,36.150973441686055
RD,DIST_KER,E1KER,2040,36.93624621911263
RD,DIST_KER,E1KER,2041,37.52455297955408
RD,DIST_KER,E1KER,2042,38.11285973999553
RD,DIST_KER,E1KER,2043,38.70116650043708
RD,DIST_KER,E1KER,2044,39.28947326087852
RD,DIST_KER,E1KER,2045,39.87778002131997
RD,DIST_KER,E1KER,2046,40.466086781761405
RD,DIST_KER,E1KER,2047,41.05439354220286
RD,DIST_KER,E1KER,2048,41.642700302644414
RD,DIST_KER,E1KER,2049,42.231007063085855
RD,DIST_KER,E1KER,2050,42.819313823527295
RD,DIST_COA,E1COA,2018,105.04054647
RD,DIST_COA,E1COA,2019,125.22022458327808
RD,DIST_COA,E1COA,2020,210.41722565109757
RD,DIST_COA,E1COA,2021,142.65296168803863
RD,DIST_COA,E1COA,2022,151.26318024803865
RD,DIST_COA,E1COA,2023,154.67756463044776
RD,DIST_COA,E1COA,2024,159.81629213387248
RD,DIST_COA,E1COA,2025,159.9517829233567
RD,DIST_COA,E1COA,2026,160.08465446990462
RD,DIST_COA,E1COA,2027,160.21752601645255
RD,DIST_COA,E1COA,2028,160.35039756300048
RD,DIST_COA,E1COA,2029,160.48326910954844
RD,DIST_COA,E1COA,2030,160.61614065609638
RD,DIST_COA,E1COA,2031,160.73657765533576
RD,DIST_COA,E1COA,2032,160.85701465457518
RD,DIST_COA,E1COA,2033,160.9774516538146
RD,DIST_COA,E1COA,2034,161.097888653054
RD,DIST_COA,E1COA,2035,161.2183256522934
RD,DIST_COA,E1COA,2036,161.33876265153282
RD,DIST_COA,E1COA,2037,161.45919965077223
RD,DIST_COA,E1COA,2038,161.57963665001162
RD,DIST_COA,E1COA,2039,161.70007364925104
RD,DIST_COA,E1COA,2040,161.82051064849043
RD,DIST_COA,E1COA,2041,161.91021451130183
RD,DIST_COA,E1COA,2042,161.9999183741132
RD,DIST_COA,E1COA,2043,162.08962223692458
RD,DIST_COA,E1COA,2044,162.179326099736
RD,DIST_COA,E1COA,2045,162.26902996254736
RD,DIST_COA,E1COA,2046,162.35873382535874
RD,DIST_COA,E1COA,2047,162.44843768817017
RD,DIST_COA,E1COA,2048,162.53814155098152
RD,DIST_COA,E1COA,2049,162.6278454137929
RD,DIST_COA,E1COA,2050,162.71754927660427
RD,IMP_ELE,E1IEL,2018,0.000594
RD,IMP_ELE,E1IEL,2019,0.000594
RD,IMP_ELE,E1IEL,2020,0.000648
RD,IMP_ELE,E1IEL,2021,0.000702
RD,IMP_ELE,E1IEL,2022,0.000756
RD,IMP_ELE,E1IEL,2023,0.000756
RD,IMP_ELE,E1IEL,2024,0.00081
RD,IMP_ELE,E1IEL,2025,2.376279769492067
RD,IMP_ELE,E1IEL,2026,2.499756569090846
RD,IMP_ELE,E1IEL,2027,2.8710145473695543
RD,IMP_ELE,E1IEL,2028,3.0502145804434457
RD,IMP_ELE,E1IEL,2029,3.2384654251389646
RD,IMP_ELE,E1IEL,2030,3.4373561890492206
RD,IMP_ELE,E1IEL,2031,3.6446039050643977
RD,IMP_ELE,E1IEL,2032,3.8619295166286034
RD,IMP_ELE,E1IEL,2033,4.089193158156982
RD,IMP_ELE,E1IEL,2034,4.315269464403497
RD,IMP_ELE,E1IEL,2035,4.552127136743216
RD,IMP_ELE,E1IEL,2036,4.799672309030781
RD,IMP_ELE,E1IEL,2037,5.05769206295406
RD,IMP_ELE,E1IEL,2038,5.325917885564221
RD,IMP_ELE,E1IEL,2039,5.605648922273437
RD,IMP_ELE,E1IEL,2040,5.89542963930196
RD,IMP_ELE,E1IEL,2041,5.753757864587577
RD,IMP_ELE,E1IEL,2042,5.719034954480296
RD,IMP_ELE,E1IEL,2043,6.032641529820798
RD,IMP_ELE,E1IEL,2044,6.344932225555562
RD,IMP_ELE,E1IEL,2045,6.669170357562718
RD,IMP_ELE,E1IEL,2046,7.002242410250905
RD,IMP_ELE,E1IEL,2047,7.3461295482078945
RD,IMP_ELE,E1IEL,2048,7.605597484982086
RD,IMP_ELE,E1IEL,2049,6.618378800645169
RD,IMP_ELE,E1IEL,2050,6.826322364301068
RD,PPHDAM,E1ELE,2018,6.2139
RD,PPHDAM,E1ELE,2019,3.4668
RD,PPHDAM,E1ELE,2020,4.5335
RD,PPHDAM,E1ELE,2021,5.2779
RD,PPHDAM,E1ELE,2022,5.1403
RD,PPHDAM,E1ELE,2023,4.0784
RD,PPHDAM,E1ELE,2024,3.8524
RD,PPHDAM,E1ELE,2025,3.8524
RD,PPHDAM,E1ELE,2026,3.9094
RD,PPHDAM,E1ELE,2027,3.9664
RD,PPHDAM,E1ELE,2028,4.0234
RD,PPHDAM,E1ELE,2029,4.0804
RD,PPHDAM,E1ELE,2030,4.1374
RD,PPHDAM,E1ELE,2031,4.1944
RD,PPHDAM,E1ELE,2032,4.2514
RD,PPHDAM,E1ELE,2033,4.3084
RD,PPHDAM,E1ELE,2034,4.3654
RD,PPHDAM,E1ELE,2035,4.4224
RD,PPHDAM,E1ELE,2036,4.4794
RD,PPHDAM,E1ELE,2037,4.5364
RD,PPHDAM,E1ELE,2038,4.5934
RD,PPHDAM,E1ELE,2039,4.6504
RD,PPHDAM,E1ELE,2040,4.7074
RD,PPHDAM,E1ELE,2041,4.7644
RD,PPHDAM,E1ELE,2042,4.8215
RD,PPHDAM,E1ELE,2043,4.8785
RD,PPHDAM,E1ELE,2044,4.9355
RD,PPHDAM,E1ELE,2045,4.9925
RD,PPHDAM,E1ELE,2046,5.0495
RD,PPHDAM,E1ELE,2047,5.1065
RD,PPHDAM,E1ELE,2048,5.1635
RD,PPHDAM,E1ELE,2049,5.2205
RD,PPHDAM,E1ELE,2050,5.2775
RD,PPWNDON,E1ELE,2018,1.72217687616
RD,PPWNDON,E1ELE,2019,2.7835
RD,PPWNDON,E1ELE,2020,3.8843
RD,PPWNDON,E1ELE,2021,4.343
RD,PPWNDON,E1ELE,2022,4.1454
RD,PPWNDON,E1ELE,2023,3.9831
RD,PPWNDON,E1ELE,2024,2.8869
RD,PPWNDON,E1ELE,2025,3.1959
RD,PPWNDON,E1ELE,2026,3.814
RD,PPWNDON,E1ELE,2027,4.4321
RD,PPWNDON,E1ELE,2028,6.8376
RD,PPWNDON,E1ELE,2029,6.8309
RD,PPWNDON,E1ELE,2030,11.6486
RD,PPWNDON,E1ELE,2031,12.6671
RD,PPWNDON,E1ELE,2032,13.6855
RD,PPWNDON,E1ELE,2033,14.704
RD,PPWNDON,E1ELE,2034,15.7224
RD,PPWNDON,E1ELE,2035,16.7409
RD,PPWNDON,E1ELE,2036,17.7594
RD,PPWNDON,E1ELE,2037,18.7778
RD,PPWNDON,E1ELE,2038,19.7963
RD,PPWNDON,E1ELE,2039,20.8147
RD,PPWNDON,E1ELE,2040,21.8332
RD,PPWNDON,E1ELE,2041,22.8516
RD,PPWNDON,E1ELE,2042,23.8701
RD,PPWNDON,E1ELE,2043,24.8885
RD,PPWNDON,E1ELE,2044,25.907
RD,PPWNDON,E1ELE,2045,26.9255
RD,PPWNDON,E1ELE,2046,27.9439
RD,PPWNDON,E1ELE,2047,28.9624
RD,PPWNDON,E1ELE,2048,29.9808
RD,PPWNDON,E1ELE,2049,30.9993
RD,PPWNDON,E1ELE,2050,32.0177
RD,PPPVT,E1ELE,2018,0.2922128351999999
RD,PPPVT,E1ELE,2019,0.5628999999999998
RD,PPPVT,E1ELE,2020,1.076
RD,PPPVT,E1ELE,2021,1.7146
RD,PPPVT,E1ELE,2022,2.5825
RD,PPPVT,E1ELE,2023,3.909
RD,PPPVT,E1ELE,2024,9.9829
RD,PPPVT,E1ELE,2025,12.5789
RD,PPPVT,E1ELE,2026,13.8152
RD,PPPVT,E1ELE,2027,14.4333
RD,PPPVT,E1ELE,2028,15.3877
RD,PPPVT,E1ELE,2029,16.3422
RD,PPPVT,E1ELE,2030,17.2967
RD,PPPVT,E1ELE,2031,18.2511
RD,PPPVT,E1ELE,2032,19.2056
RD,PPPVT,E1ELE,2033,20.1601
RD,PPPVT,E1ELE,2034,21.1145
RD,PPPVT,E1ELE,2035,22.069
RD,PPPVT,E1ELE,2036,23.0235
RD,PPPVT,E1ELE,2037,23.9779
RD,PPPVT,E1ELE,2038,24.9324
RD,PPPVT,E1ELE,2039,25.8869
RD,PPPVT,E1ELE,2040,26.8413
RD,PPPVT,E1ELE,2041,27.7958
RD,PPPVT,E1ELE,2042,28.7503
RD,PPPVT,E1ELE,2043,29.7047
RD,PPPVT,E1ELE,2044,30.6592
RD,PPPVT,E1ELE,2045,31.6137
RD,PPPVT,E1ELE,2046,32.5681
RD,PPPVT,E1ELE,2047,33.5226
RD,PPPVT,E1ELE,2048,34.4771
RD,PPPVT,E1ELE,2049,35.4315
RD,PPPVT,E1ELE,2050,36.386
RD,PPPVD,E3ELE,2018,0.5832216
RD,PPPVD,E3ELE,2019,0.5832216
RD,PPPVD,E3ELE,2020,0.5832216
RD,PPPVD,E3ELE,2021,0.5832216
RD,PPPVD,E3ELE,2022,0.5832216
RD,PPPVD,E3ELE,2023,0.5832216
RD,PPPVD,E3ELE,2024,0.5832216
RD,PPPVD,E3ELE,2025,0.5832216
RD,PPPVD,E3ELE,2026,0.5832216
RD,PPPVD,E3ELE,2027,0.5832216
RD,PPPVD,E3ELE,2028,0.5832216
RD,PPPVD,E3ELE,2029,0.5832216
RD,PPPVD,E3ELE,2030,0.5832216
RD,PPPVD,E3ELE,2031,0.5832216
RD,PPPVD,E3ELE,2032,0.5832216
RD,PPPVD,E3ELE,2033,0.5832216
RD,PPPVD,E3ELE,2034,0.5832216
RD,PPPVD,E3ELE,2035,0.5832216
RD,PPPVD,E3ELE,2036,0.5832216
RD,PPPVD,E3ELE,2037,0.5832216
RD,PPPVD,E3ELE,2038,0.5832216
RD,PPPVD,E3ELE,2039,0.5832216
RD,PPPVD,E3ELE,2040,0.5832216
RD,PPPVD,E3ELE,2041,0.5832216
RD,PPPVD,E3ELE,2042,0.5832216
RD,PPPVD,E3ELE,2043,0.5832216
RD,PPPVD,E3ELE,2044,0.5832216
RD,PPPVD,E3ELE,2045,0.5832216
RD,PPPVD,E3ELE,2046,0.5832216
RD,PPPVD,E3ELE,2047,0.5832216
RD,PPPVD,E3ELE,2048,0.5832216
RD,PPPVD,E3ELE,2049,0.5832216
RD,PPPVD,E3ELE,2050,0.5832216
RD,SOIALL,E1_SOI,2018,5.089048999999999
RD,SOIALL,E1_SOI,2019,5.089049
RD,SOIALL,E1_SOI,2020,5.089049
RD,SOIALL,E1_SOI,2021,5.089049
RD,SOIALL,E1_SOI,2022,5.105549
RD,SOIALL,E1_SOI,2023,5.105549
RD,SOIALL,E1_SOI,2024,5.105549
RD,SOIALL,E1_SOI,2025,5.105449
RD,SOIALL,E1_SOI,2026,5.105449
RD,SOIALL,E1_SOI,2027,5.105449
RD,SOIALL,E1_SOI,2028,5.105549
RD,SOIALL,E1_SOI,2029,5.105549
RD,SOIALL,E1_SOI,2030,5.105549
RD,SOIALL,E1_SOI,2031,5.105549
RD,SOIALL,E1_SOI,2032,5.105549
RD,SOIALL,E1_SOI,2033,5.105449
RD,SOIALL,E1_SOI,2034,5.105549
RD,SOIALL,E1_SOI,2035,5.105649
RD,SOIALL,E1_SOI,2036,5.105549
RD,SOIALL,E1_SOI,2037,5.105549
RD,SOIALL,E1_SOI,2038,5.105449
RD,SOIALL,E1_SOI,2039,5.105649
RD,SOIALL,E1_SOI,2040,5.105549
RD,SOIALL,E1_SOI,2041,5.105549
RD,SOIALL,E1_SOI,2042,5.105449
RD,SOIALL,E1_SOI,2043,5.105549
RD,SOIALL,E1_SOI,2044,5.105549000000001
RD,SOIALL,E1_SOI,2045,5.105449
RD,SOIALL,E1_SOI,2046,5.105449
RD,SOIALL,E1_SOI,2047,5.105549
RD,SOIALL,E1_SOI,2048,5.105549000000001
RD,SOIALL,E1_SOI,2049,5.105549
RD,SOIALL,E1_SOI,2050,5.105549
RD,IMPRIC,E3_RIC,2018,0.62
RD,IMPRIC,E3_RIC,2019,0.647
RD,IMPRIC,E3_RIC,2020,0.679
RD,IMPRIC,E3_RIC,2021,0.708
RD,IMPRIC,E3_RIC,2022,0.6189999999999999
RD,IMPRIC,E3_RIC,2023,0.6514999999999999
RD,IMPRIC,E3_RIC,2024,0.67201
RD,IMPRIC,E3_RIC,2025,0.6696302
RD,IMPRIC,E3_RIC,2026,0.6673608039999999
RD,IMPRIC,E3_RIC,2027,0.6650020199999999
RD,IMPRIC,E3_RIC,2028,0.66275406
RD,IMPRIC,E3_RIC,2029,0.660417142
RD,IMPRIC,E3_RIC,2030,0.658091485
RD,IMPRIC,E3_RIC,2031,0.655877314
RD,IMPRIC,E3_RIC,2032,0.6535748599999999
RD,IMPRIC,E3_RIC,2033,0.6513843579999999
RD,IMPRIC,E3_RIC,2034,0.6491060449999999
RD,IMPRIC,E3_RIC,2035,0.646840166
RD,IMPRIC,E3_RIC,2036,0.644686969
RD,IMPRIC,E3_RIC,2037,0.642446708
RD,IMPRIC,E3_RIC,2038,0.640219643
RD,IMPRIC,E3_RIC,2039,0.6381060349999998
RD,IMPRIC,E3_RIC,2040,0.635906156
RD,IMPRIC,E3_RIC,2041,0.633820279
RD,IMPRIC,E3_RIC,2042,0.631648685
RD,IMPRIC,E3_RIC,2043,0.629491659
RD,IMPRIC,E3_RIC,2044,0.627449492
RD,IMPRIC,E3_RIC,2045,0.6253224819999998
RD,IMPRIC,E3_RIC,2046,0.6233109309999999
RD,IMPRIC,E3_RIC,2047,0.62121515
RD,IMPRIC,E3_RIC,2048,0.619135453
RD,IMPRIC,E3_RIC,2049,0.617172162
RD,IMPRIC,E3_RIC,2050,0.615125605
RD,IMPBAN,E3_BAN,2018,0.032
RD,IMPBAN,E3_BAN,2019,0.0609999999999999
RD,IMPBAN,E3_BAN,2020,1.006
RD,IMPBAN,E3_BAN,2021,0.817
RD,IMPBAN,E3_BAN,2022,0.83
RD,IMPBAN,E3_BAN,2023,0.874
RD,IMPBAN,E3_BAN,2024,0.901
RD,IMPBAN,E3_BAN,2025,0.8982
RD,IMPBAN,E3_BAN,2026,0.8952999999999999
RD,IMPBAN,E3_BAN,2027,0.8925
RD,IMPBAN,E3_BAN,2028,0.8887
RD,IMPBAN,E3_BAN,2029,0.8859
RD,IMPBAN,E3_BAN,2030,0.883
RD,IMPBAN,E3_BAN,2031,0.8802
RD,IMPBAN,E3_BAN,2032,0.8774
RD,IMPBAN,E3_BAN,2033,0.8746
RD,IMPBAN,E3_BAN,2034,0.8707
RD,IMPBAN,E3_BAN,2035,0.8679
RD,IMPBAN,E3_BAN,2036,0.8651
RD,IMPBAN,E3_BAN,2037,0.8623
RD,IMPBAN,E3_BAN,2038,0.8594
RD,IMPBAN,E3_BAN,2039,0.8566
RD,IMPBAN,E3_BAN,2040,0.8538
RD,IMPBAN,E3_BAN,2041,0.8509000000000001
RD,IMPBAN,E3_BAN,2042,0.8481
RD,IMPBAN,E3_BAN,2043,0.8453
RD,IMPBAN,E3_BAN,2044,0.8425
RD,IMPBAN,E3_BAN,2045,0.8396
RD,IMPBAN,E3_BAN,2046,0.8378000000000001
RD,IMPBAN,E3_BAN,2047,0.8349999999999999
RD,IMPBAN,E3_BAN,2048,0.8322
RD,IMPBAN,E3_BAN,2049,0.8292999999999999
RD,IMPBAN,E3_BAN,2050,0.8265
RD,IMPSGC,E3_SGC,2018,2761.0
RD,IMPSGC,E3_SGC,2019,2783.0
RD,IMPSGC,E3_SGC,2020,2784.0
RD,IMPSGC,E3_SGC,2021,2688.0
RD,IMPSGC,E3_SGC,2022,2688.0
RD,IMPSGC,E3_SGC,2023,2834.0
RD,IMPSGC,E3_SGC,2024,2923.0
RD,IMPSGC,E3_SGC,2025,2906.6158
RD,IMPSGC,E3_SGC,2026,2891.3238
RD,IMPSGC,E3_SGC,2027,2875.6678
RD,IMPSGC,E3_SGC,2028,2859.2836
RD,IMPSGC,E3_SGC,2029,2843.4455
RD,IMPSGC,E3_SGC,2030,2827.7894
RD,IMPSGC,E3_SGC,2031,2813.5898
RD,IMPSGC,E3_SGC,2032,2799.2081
RD,IMPSGC,E3_SGC,2033,2784.6443
RD,IMPSGC,E3_SGC,2034,2769.7164
RD,IMPSGC,E3_SGC,2035,2754.4245
RD,IMPSGC,E3_SGC,2036,2741.6812
RD,IMPSGC,E3_SGC,2037,2728.7559
RD,IMPSGC,E3_SGC,2038,2715.6485
RD,IMPSGC,E3_SGC,2039,2702.3591
RD,IMPSGC,E3_SGC,2040,2688.8876
RD,IMPSGC,E3_SGC,2041,2677.9648
RD,IMPSGC,E3_SGC,2042,2666.8599
RD,IMPSGC,E3_SGC,2043,2655.755
RD,IMPSGC,E3_SGC,2044,2644.4681
RD,IMPSGC,E3_SGC,2045,2632.9992
RD,IMPSGC,E3_SGC,2046,2624.2609
RD,IMPSGC,E3_SGC,2047,2615.3406
RD,IMPSGC,E3_SGC,2048,2606.2383
RD,IMPSGC,E3_SGC,2049,2597.318
RD,IMPSGC,E3_SGC,2050,2588.0336
RD,IMPCOC,E3_COC,2018,0.1709999999999999
RD,IMPCOC,E3_COC,2019,0.1639999999999999
RD,IMPCOC,E3_COC,2020,0.1699999999999999
RD,IMPCOC,E3_COC,2021,0.193
